Rating Agency,Corporation,Rating,Rating Date,CIK,Binary Rating,SIC Code,Sector,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Operating Cash Flow Per Share,Free Cash Flow Per Share
Standard & Poor's Ratings Services,FTI Consulting Inc.,BB,2013-04-23,887936,0,8721.0,Other,FCN,2.2169,0.4016,0.6769,37.8179,3.7439,3.7439,14.3276,0.1975,-2.3455,0.693,-3.4624,12.4959,-1.6254,-2.0717,-1.0174,-0.9907
Standard & Poor's Ratings Services,FTI Consulting Inc.,BB,2013-12-13,887936,0,8721.0,Other,FCN,2.2169,0.4016,0.6769,37.8179,3.7439,3.7439,14.3276,0.1975,-2.3455,0.693,-3.4624,12.4959,-1.6254,-2.0717,-1.0174,-0.9907
Moody's Investors Service,"FairPoint Communications, Inc.",B,2013-01-30,1062613,0,4813.0,Telcm,FRP,1.3349,0.2464,0.357,11.0584,11.0584,11.0584,21.2486,9.8185,6.1232,0.4625,4.4134,4.441,2.7968,3.3259,-0.0177,-0.1915
Standard & Poor's Ratings Services,FedEx Corp.,BBB,2013-04-08,1048911,1,4513.0,Other,FDX,1.6852,0.0782,0.1132,73.545,7.4649,7.4649,12.4157,7.3594,4.761,1.4273,13.7978,16.4668,6.7953,12.7183,2.5048,0.5804
Standard & Poor's Ratings Services,FedEx Corp.,BBB,2013-09-26,1048911,1,4513.0,Other,FDX,1.9607,0.136,0.1719,72.8634,10.012,10.012,15.3996,9.7952,6.1327,1.3194,15.611,18.5481,8.0913,13.4876,-0.4638,1.4701
Standard & Poor's Ratings Services,FedEx Corp.,BBB,2013-10-15,1048911,1,4513.0,Other,FDX,1.9607,0.136,0.1719,72.8634,10.012,10.012,15.3996,9.7952,6.1327,1.3194,15.611,18.5481,8.0913,13.4876,-0.4638,1.4701
Standard & Poor's Ratings Services,Ferro Corp.,B-,2013-03-05,35214,0,2851.0,Chems,FOE,1.5764,0.5587,1.6779,18.4111,-20.8381,-20.8381,-16.3115,-22.7568,-29.5235,1.1748,-186.8179,-298.6364,-35.7801,-82.4484,-0.3392,-0.1462
Standard & Poor's Ratings Services,Ferro Corp.,B,2013-04-01,35214,0,2851.0,Chems,FOE,1.5764,0.5587,1.6779,18.4111,-20.8381,-20.8381,-16.3115,-22.7568,-29.5235,1.1748,-186.8179,-298.6364,-35.7801,-82.4484,-0.3392,-0.1462
Standard & Poor's Ratings Services,Ferro Corp.,B,2013-05-23,35214,0,2851.0,Chems,FOE,1.5764,0.5587,1.6779,18.4111,-20.8381,-20.8381,-16.3115,-22.7568,-29.5235,1.1748,-186.8179,-298.6364,-35.7801,-82.4484,-0.3392,-0.1462
Standard & Poor's Ratings Services,Fidelity National Information Services Inc.,BBB-,2013-01-17,1136893,1,7374.0,BusEq,FIS,1.2342,0.4062,0.7231,30.3345,18.6558,18.6558,30.6616,12.9231,8.3476,0.4055,7.4363,-10.5765,3.5651,4.4154,0.7725,0.6864
Moody's Investors Service,"Fidelity National Information Services, Inc.",BBB-,2013-03-21,1136893,1,7374.0,BusEq,FIS,1.2342,0.4062,0.7231,30.3345,18.6558,18.6558,30.6616,12.9231,8.3476,0.4055,7.4363,-10.5765,3.5651,4.4154,0.7725,0.6864
Moody's Investors Service,"Fidelity National Information Services, Inc.",BBB-,2013-04-10,1136893,1,7374.0,BusEq,FIS,1.2342,0.4062,0.7231,30.3345,18.6558,18.6558,30.6616,12.9231,8.3476,0.4055,7.4363,-10.5765,3.5651,4.4154,0.7725,0.6864
Standard & Poor's Ratings Services,Fiserv Inc.,BBB-,2013-03-19,798354,1,7374.0,BusEq,FISV,0.9798,0.4968,1.0421,41.6181,23.0823,23.0823,31.1261,16.8571,11.0049,0.5018,14.9478,-14.5678,5.6972,7.5224,0.0596,0.0185
Moody's Investors Service,Flex Ltd.,BB+,2013-02-12,866374,0,3672.0,BusEq,FLEX,1.3572,0.4848,0.9583,5.1731,2.0135,2.0135,3.7922,1.9587,1.6657,2.6594,22.801,24.5177,4.7198,11.7468,0.0201,-0.0146
Fitch Ratings,Flex Ltd.,BBB-,2013-02-13,866374,1,3672.0,BusEq,FLEX,1.3572,0.4848,0.9583,5.1731,2.0135,2.0135,3.7922,1.9587,1.6657,2.6594,22.801,24.5177,4.7198,11.7468,0.0201,-0.0146
Standard & Poor's Ratings Services,Flex Ltd.,BB+,2013-09-27,866374,0,3672.0,BusEq,FLEX,1.259,0.4236,0.9203,4.9481,1.3572,1.3572,3.7601,1.3951,1.1755,2.2253,13.4639,15.8943,2.8561,7.761,0.5473,0.4356
Fitch Ratings,"Flowers Foods, Inc.",BBB,2013-04-12,1128928,1,2050.0,NoDur,FLO,1.4104,0.2719,0.4298,46.8802,6.8158,6.8158,10.2282,6.9218,4.4505,1.7847,16.2626,31.0115,7.9426,11.8411,-0.8228,-0.6797
Standard & Poor's Ratings Services,Flowserve Corp.,BBB-,2013-07-29,30625,1,3561.0,Manuf,FLS,1.7227,0.3145,0.4902,33.2738,14.2229,14.5797,16.8364,12.8714,9.4361,0.9876,23.7955,65.2813,9.3703,16.3121,1.9771,1.8424
Moody's Investors Service,Flowserve Corporation,BBB,2013-08-28,30625,1,3561.0,Manuf,FLS,1.7227,0.3145,0.4902,33.2738,14.2229,14.5797,16.8364,12.8714,9.4361,0.9876,23.7955,65.2813,9.3703,16.3121,1.9771,1.8424
Moody's Investors Service,Flowserve Corporation,BBB,2013-10-28,30625,1,3561.0,Manuf,FLS,1.7227,0.3145,0.4902,33.2738,14.2229,14.5797,16.8364,12.8714,9.4361,0.9876,23.7955,65.2813,9.3703,16.3121,1.9771,1.8424
Standard & Poor's Ratings Services,Fluor Corp.,A-,2013-08-09,1124198,1,1600.0,Other,FLR,1.5678,0.1318,0.1579,3.2092,2.6616,2.6616,3.5673,2.6598,1.6547,3.3322,16.6633,17.171,6.9002,14.4673,-1.5137,-0.7887
Moody's Investors Service,"Forum Energy Technologies, Inc.",BB-,2013-09-23,1401257,0,3533.0,Manuf,FET,2.8377,0.2562,0.362,32.7264,17.0241,17.0241,20.6854,15.746,10.7041,0.7475,13.0387,72.5243,8.0048,9.6988,20.0945,21.7564
Standard & Poor's Ratings Services,"Forum Energy Technologies, Inc.",BB,2013-09-25,1401257,0,3533.0,Manuf,FET,2.8377,0.2562,0.362,32.7264,17.0241,17.0241,20.6854,15.746,10.7041,0.7475,13.0387,72.5243,8.0048,9.6988,20.0945,21.7564
Moody's Investors Service,Freeport-McMoRan Inc.,BBB-,2013-02-28,831259,1,1000.0,Other,FCX,3.0802,0.1419,0.1655,35.8079,32.2821,32.2821,38.8284,30.4664,16.8851,0.5082,18.6758,18.6758,11.2303,16.0251,-2.9759,-3.985
Fitch Ratings,Freeport-McMoRan Inc.,BBB,2013-03-01,831259,1,1000.0,Other,FCX,3.0802,0.1419,0.1655,35.8079,32.2821,32.2821,38.8284,30.4664,16.8851,0.5082,18.6758,18.6758,11.2303,16.0251,-2.9759,-3.985
Standard & Poor's Ratings Services,Freeport-McMoRan Oil & Gas LLC,B,2013-04-29,831259,0,1000.0,Other,FCX,3.0802,0.1419,0.1655,35.8079,32.2821,32.2821,38.8284,30.4664,16.8851,0.5082,18.6758,18.6758,11.2303,16.0251,-2.9759,-3.985
Fitch Ratings,Freeport-McMoRan Oil & Gas LLC,BBB,2013-06-03,831259,1,1000.0,Other,FCX,3.0802,0.1419,0.1655,35.8079,32.2821,32.2821,38.8284,30.4664,16.8851,0.5082,18.6758,18.6758,11.2303,16.0251,-2.9759,-3.985
Standard & Poor's Ratings Services,Freeport-McMoRan Oil & Gas LLC,BBB,2013-06-04,831259,1,1000.0,Other,FCX,3.0802,0.1419,0.1655,35.8079,32.2821,32.2821,38.8284,30.4664,16.8851,0.5082,18.6758,18.6758,11.2303,16.0251,-2.9759,-3.985
Fitch Ratings,Fresenius Medical Care AG & Co. KGaA,BBB-,2013-06-17,1333141,1,8090.0,Hlth,FMS,1.933,0.4463,0.8528,33.3417,15.6875,15.6875,20.0562,14.0005,9.6155,0.6181,11.4949,-46.5546,5.0076,6.3622,4.2968,3.0557
Egan-Jones Ratings Company,"GAP, INC",BBB+,2013-05-24,39911,1,5651.0,Shops,GPS,1.7628,0.301,0.4305,39.4288,12.4082,12.4082,15.4942,11.8906,7.2519,2.0952,39.2191,39.2191,15.1941,27.4155,1.41,1.0877
Egan-Jones Ratings Company,"GAP, INC",BBB+,2013-10-02,39911,1,5651.0,Shops,GPS,1.7628,0.301,0.4305,39.4288,12.4082,12.4082,15.4942,11.8906,7.2519,2.0952,39.2191,39.2191,15.1941,27.4155,1.41,1.0877
Egan-Jones Ratings Company,"GAP, INC",BBB+,2013-12-12,39911,1,5651.0,Shops,GPS,1.7628,0.301,0.4305,39.4288,12.4082,12.4082,15.4942,11.8906,7.2519,2.0952,39.2191,39.2191,15.1941,27.4155,1.41,1.0877
Egan-Jones Ratings Company,GENERAL CABLE CORPORATION,BB,2013-05-30,886035,0,3350.0,Manuf,BGC,1.7403,0.5137,1.0562,98.6831,5.9316,5.9316,11.2006,3.2287,1.3824,1.0533,8.3088,14.6616,2.1668,4.0408,-0.1228,0.0665
Egan-Jones Ratings Company,GENERAL CABLE CORPORATION,BB-,2013-10-18,886035,0,3350.0,Manuf,BGC,1.7403,0.5137,1.0562,98.6831,5.9316,5.9316,11.2006,3.2287,1.3824,1.0533,8.3088,14.6616,2.1668,4.0408,-0.1228,0.0665
Egan-Jones Ratings Company,"GENERAL MILLS, INC",BBB+,2013-06-26,40704,1,2040.0,NoDur,GIS,0.812,0.4539,1.1179,36.1419,16.0447,16.0447,19.3529,14.2618,10.4377,0.7845,26.5484,-29.076,8.3525,14.4968,0.7854,0.91
Egan-Jones Ratings Company,"GENERAL MILLS, INC",A-,2013-10-02,40704,1,2040.0,NoDur,GIS,0.812,0.4539,1.1179,36.1419,16.0447,16.0447,19.3529,14.2618,10.4377,0.7845,26.5484,-29.076,8.3525,14.4968,0.7854,0.91
Egan-Jones Ratings Company,"GILEAD SCIENCES, INC",A+,2013-09-03,882095,1,2836.0,Hlth,GILD,5.5348,0.5303,1.1293,74.6653,45.1958,45.1958,48.8001,43.5401,33.4348,0.4846,40.6133,58.1007,16.1188,19.0759,0.6804,0.6325
Egan-Jones Ratings Company,"GILEAD SCIENCES, INC",A+,2013-12-13,882095,1,2836.0,Hlth,GILD,5.5348,0.5303,1.1293,74.6653,45.1958,45.1958,48.8001,43.5401,33.4348,0.4846,40.6133,58.1007,16.1188,19.0759,0.6804,0.6325
Egan-Jones Ratings Company,GLAXOSMITHKLINE PLC,BBB+,2013-09-10,1131399,1,2834.0,Hlth,GSK,1.0771,0.5803,1.6881,73.2282,28.5063,28.5063,34.6296,28.1082,19.9292,0.6667,63.8223,-206.4344,13.7137,26.7883,-0.166,-0.0899
Egan-Jones Ratings Company,GLAXOSMITHKLINE PLC,A-,2013-11-05,1131399,1,2834.0,Hlth,GSK,1.0771,0.5803,1.6881,73.2282,28.5063,28.5063,34.6296,28.1082,19.9292,0.6667,63.8223,-206.4344,13.7137,26.7883,-0.166,-0.0899
Standard & Poor's Ratings Services,Gap Inc. (The),BBB-,2013-05-10,39911,1,5651.0,Shops,GPS,1.7628,0.301,0.4305,39.4288,12.4082,12.4082,15.4942,11.8906,7.2519,2.0952,39.2191,39.2191,15.1941,27.4155,1.41,1.0877
Moody's Investors Service,General Cable Corporation,B-,2013-10-31,886035,0,3350.0,Manuf,BGC,1.7403,0.5137,1.0562,98.6831,5.9316,5.9316,11.2006,3.2287,1.3824,1.0533,8.3088,14.6616,2.1668,4.0408,-0.1228,0.0665
Standard & Poor's Ratings Services,General Mills Inc.,BBB+,2013-01-28,40704,1,2040.0,NoDur,GIS,0.9605,0.4724,1.0795,36.2873,15.3825,15.3825,18.6332,13.27,9.4087,0.7896,23.0883,-26.4643,7.5324,12.1821,1.3075,1.2668
Standard & Poor's Ratings Services,General Mills Inc.,A,2013-08-21,40704,1,2040.0,NoDur,GIS,0.812,0.4539,1.1179,36.1419,16.0447,16.0447,19.3529,14.2618,10.4377,0.7845,26.5484,-29.076,8.3525,14.4968,0.7854,0.91
Fitch Ratings,"General Mills, Inc.",BBB+,2013-11-07,40704,1,2040.0,NoDur,GIS,0.812,0.4539,1.1179,36.1419,16.0447,16.0447,19.3529,14.2618,10.4377,0.7845,26.5484,-29.076,8.3525,14.4968,0.7854,0.91
Standard & Poor's Ratings Services,"Gilead Sciences, Inc.",BBB,2013-03-28,882095,1,2836.0,Hlth,GILD,5.5348,0.5303,1.1293,74.6653,45.1958,45.1958,48.8001,43.5401,33.4348,0.4846,40.6133,58.1007,16.1188,19.0759,0.6804,0.6325
Standard & Poor's Ratings Services,Glatfelter (P.H.) Co.,BB+,2013-06-19,41719,0,2621.0,Manuf,GLT,1.9997,0.3164,0.4629,12.7872,5.2882,5.2882,10.1348,3.1532,2.6477,1.4183,8.7059,8.7059,3.7552,5.9512,-0.5589,-0.1517
Standard & Poor's Ratings Services,GlaxoSmithKline Capital Inc.,AA,2013-02-28,1131399,1,2834.0,Hlth,GSK,1.0771,0.5803,1.6881,73.2282,28.5063,28.5063,34.6296,28.1082,19.9292,0.6667,63.8223,-206.4344,13.7137,26.7883,-0.166,-0.0899
Moody's Investors Service,GlaxoSmithKline Capital Inc.,A+,2013-03-15,1131399,1,2834.0,Hlth,GSK,1.0771,0.5803,1.6881,73.2282,28.5063,28.5063,34.6296,28.1082,19.9292,0.6667,63.8223,-206.4344,13.7137,26.7883,-0.166,-0.0899
Moody's Investors Service,GlaxoSmithKline plc,A+,2013-01-04,1131399,1,2834.0,Hlth,GSK,1.0771,0.5803,1.6881,73.2282,28.5063,28.5063,34.6296,28.1082,19.9292,0.6667,63.8223,-206.4344,13.7137,26.7883,-0.166,-0.0899
"Japan Credit Rating Agency,Ltd.",Global One Real Estate Investment Corporation,AA-,2013-09-04,1512077,1,4899.0,Telcm,ENT,1.2813,0.4602,1.25,34.5557,-281.17,-281.17,-273.7677,-279.1233,-279.1233,0.8113,27.8696,-1022.812,-226.4425,-552.1255,-16.1642,-17.5786
Standard & Poor's Ratings Services,"Global Ship Lease, Inc.",B+,2013-12-11,1430725,0,4400.0,Other,GSL,0.5816,0.5057,1.1612,70.2438,40.359,40.359,66.1245,20.9236,20.8401,0.1695,8.7095,8.7112,3.5331,4.3048,1.4395,1.4395
Moody's Investors Service,"Gray Television, Inc.",CCC+,2013-10-15,43196,0,4833.0,Telcm,GTN,2.0199,0.8526,5.7864,47.5618,37.9025,37.9025,47.5403,11.6881,5.9368,0.3239,19.5429,-3.3233,2.2507,2.8797,0.8925,0.8892
Standard & Poor's Ratings Services,Great Lakes Dredge & Dock Corp.,B,2013-03-19,1372020,0,1600.0,Other,GLDD,1.6867,0.4776,0.962,13.2825,5.5458,5.5458,12.1184,1.9907,-0.458,0.712,2.3023,3.2953,0.7617,1.2027,-0.4459,-1.2469
Standard & Poor's Ratings Services,Great Lakes Dredge & Dock Corp.,B-,2013-09-13,1372020,0,1600.0,Other,GLDD,1.6867,0.4776,0.962,13.2825,5.5458,5.5458,12.1184,1.9907,-0.458,0.712,2.3023,3.2953,0.7617,1.2027,-0.4459,-1.2469
Moody's Investors Service,Great Lakes Dredge & Dock Corporation,CCC+,2013-08-26,1372020,0,1600.0,Other,GLDD,1.6867,0.4776,0.962,13.2825,5.5458,5.5458,12.1184,1.9907,-0.458,0.712,2.3023,3.2953,0.7617,1.2027,-0.4459,-1.2469
Standard & Poor's Ratings Services,Greenbrier Companies Inc. (The),B-,2013-09-27,923120,0,3743.0,Manuf,GBX,1.5869,0.4501,0.924,11.7497,2.3714,2.3714,9.2491,1.1098,-0.629,1.3618,-1.1779,-1.6248,-0.4172,-0.6478,0.4785,3.5234
Standard & Poor's Ratings Services,Greif Inc.,BB,2013-06-07,43920,0,2650.0,Manuf,GEF,1.2165,0.4727,0.9738,18.8764,6.8047,6.8047,10.5727,4.4412,2.8599,1.0717,9.4294,90.8157,3.2076,4.9716,6.3657,5.9218
Standard & Poor's Ratings Services,Greif Inc.,BB-,2013-09-20,43920,0,2650.0,Manuf,GEF,1.2165,0.4727,0.9738,18.8764,6.8047,6.8047,10.5727,4.4412,2.8599,1.0717,9.4294,90.8157,3.2076,4.9716,6.3657,5.9218
Standard & Poor's Ratings Services,Griffon Corp.,BB+,2013-02-27,50725,0,3420.0,Manuf,GFF,3.0222,0.5104,1.0695,22.5025,3.8912,3.8912,7.7752,1.1789,0.914,1.0304,2.6005,26.0478,0.9418,1.2732,0.9716,1.2375
Moody's Investors Service,Grifols S.A.,BB+,2013-07-15,1438569,0,2836.0,Hlth,GRFS,3.2631,0.5886,1.5361,50.7297,25.1855,25.1855,30.1119,14.8016,9.7437,0.4657,16.366,-32.121,5.4696,6.7329,0.4004,0.2186
Standard & Poor's Ratings Services,Group 1 Automotive Inc.,B+,2013-08-12,1031203,0,5500.0,Shops,GPI,1.125,0.3742,1.5739,15.8,3.1827,3.1827,3.8251,2.1727,1.2768,2.4551,10.2087,78.5042,3.3272,6.3886,11.899,10.4726
Standard & Poor's Ratings Services,Group 1 Automotive Inc.,BB-,2013-10-10,1031203,0,5500.0,Shops,GPI,1.125,0.3742,1.5739,15.8,3.1827,3.1827,3.8251,2.1727,1.2768,2.4551,10.2087,78.5042,3.3272,6.3886,11.899,10.4726
Standard & Poor's Ratings Services,H&E Equipment Services Inc.,B+,2013-08-13,1339605,0,5084.0,Shops,HEES,0.7893,0.915,14.0067,30.7294,10.658,10.658,24.7588,5.3084,3.4439,0.8885,59.2894,174.1096,3.0599,5.04,-0.5581,-4.3276
Egan-Jones Ratings Company,"H&R BLOCK, INC",A-,2013-06-21,12659,1,7200.0,Shops,HRB,1.2237,0.4176,0.7176,73.5315,26.5313,26.5313,29.7112,24.1578,14.9331,0.6404,36.8137,85.4558,10.2508,21.4407,0.5994,0.4628
Egan-Jones Ratings Company,"H&R BLOCK, INC",A-,2013-10-08,12659,1,7200.0,Shops,HRB,1.2237,0.4176,0.7176,73.5315,26.5313,26.5313,29.7112,24.1578,14.9331,0.6404,36.8137,85.4558,10.2508,21.4407,0.5994,0.4628
Egan-Jones Ratings Company,HALLIBURTON COMPANY,AA+,2013-08-26,45012,1,1389.0,Enrgy,HAL,2.7538,0.2339,0.3053,16.6088,14.5915,14.5915,20.3031,13.4091,9.2446,1.0399,16.3838,18.9454,9.4382,12.5522,-0.0582,-0.4459
Egan-Jones Ratings Company,HALLIBURTON COMPANY,AA+,2013-10-24,45012,1,1389.0,Enrgy,HAL,2.7538,0.2339,0.3053,16.6088,14.5915,14.5915,20.3031,13.4091,9.2446,1.0399,16.3838,18.9454,9.4382,12.5522,-0.0582,-0.4459
Egan-Jones Ratings Company,HANESBRANDS INC.,BB,2013-09-17,1359841,0,2300.0,NoDur,HBI,2.3154,0.5977,1.7111,31.3773,9.7248,9.7248,11.9831,5.81,3.6388,1.2462,26.2095,69.7081,6.4004,10.5447,0.9433,1.0349
Egan-Jones Ratings Company,HANESBRANDS INC.,BB,2013-12-11,1359841,0,2300.0,NoDur,HBI,2.3154,0.5977,1.7111,31.3773,9.7248,9.7248,11.9831,5.81,3.6388,1.2462,26.2095,69.7081,6.4004,10.5447,0.9433,1.0349
Egan-Jones Ratings Company,"HARLEY-DAVIDSON, INC",A,2013-09-06,793952,1,3751.0,Durbl,HOG,1.6832,0.6136,2.3645,37.1996,15.6252,15.6252,20.7063,14.923,11.2791,0.5491,22.6455,22.9209,5.6654,8.7495,-1.1867,-1.2637
Egan-Jones Ratings Company,"HARLEY-DAVIDSON, INC",A,2013-10-24,793952,1,3751.0,Durbl,HOG,1.6832,0.6136,2.3645,37.1996,15.6252,15.6252,20.7063,14.923,11.2791,0.5491,22.6455,22.9209,5.6654,8.7495,-1.1867,-1.2637
Egan-Jones Ratings Company,"HARLEY-DAVIDSON, INC",AA-,2013-11-01,793952,1,3751.0,Durbl,HOG,1.6832,0.6136,2.3645,37.1996,15.6252,15.6252,20.7063,14.923,11.2791,0.5491,22.6455,22.9209,5.6654,8.7495,-1.1867,-1.2637
Egan-Jones Ratings Company,HARSCO CORPORATION,BB+,2013-09-18,45876,0,3390.0,Manuf,HSC,1.6727,0.5263,1.1249,22.866,-5.7383,-5.7383,3.1952,-7.1731,-8.3588,1.0235,-29.3843,-71.3792,-8.5075,-13.9184,-1.2342,-0.5539
Egan-Jones Ratings Company,HARSCO CORPORATION,BB+,2013-12-04,45876,0,3390.0,Manuf,HSC,1.6727,0.5263,1.1249,22.866,-5.7383,-5.7383,3.1952,-7.1731,-8.3588,1.0235,-29.3843,-71.3792,-8.5075,-13.9184,-1.2342,-0.5539
Egan-Jones Ratings Company,"HASBRO, INC",BBB-,2013-07-23,46080,1,3944.0,NoDur,HAS,2.3916,0.497,1.1155,57.1526,13.86,13.86,18.4396,11.3495,8.9922,1.0375,27.1861,81.0565,9.3292,13.6733,0.4335,0.4637
Egan-Jones Ratings Company,"HASBRO, INC",BBB-,2013-10-31,46080,1,3944.0,NoDur,HAS,2.3916,0.497,1.1155,57.1526,13.86,13.86,18.4396,11.3495,8.9922,1.0375,27.1861,81.0565,9.3292,13.6733,0.4335,0.4637
Egan-Jones Ratings Company,HCA HEALTHCARE INC,B+,2013-06-07,860730,0,8062.0,Hlth,HCA,1.3023,1.3765,-3.8569,82.5517,15.4841,15.4841,20.6556,11.9972,8.3047,1.1035,-40.519,-23.1716,10.5658,15.2542,0.8764,0.5206
Egan-Jones Ratings Company,HCA HEALTHCARE INC,B+,2013-09-25,860730,0,8062.0,Hlth,HCA,1.3023,1.3765,-3.8569,82.5517,15.4841,15.4841,20.6556,11.9972,8.3047,1.1035,-40.519,-23.1716,10.5658,15.2542,0.8764,0.5206
Egan-Jones Ratings Company,HCA HEALTHCARE INC,B+,2013-12-13,860730,0,8062.0,Hlth,HCA,1.3023,1.3765,-3.8569,82.5517,15.4841,15.4841,20.6556,11.9972,8.3047,1.1035,-40.519,-23.1716,10.5658,15.2542,0.8764,0.5206
Standard & Poor's Ratings Services,"HCA Healthcare, Inc.",B-,2013-07-31,860730,0,8062.0,Hlth,HCA,1.3023,1.3765,-3.8569,82.5517,15.4841,15.4841,20.6556,11.9972,8.3047,1.1035,-40.519,-23.1716,10.5658,15.2542,0.8764,0.5206
Egan-Jones Ratings Company,HERSHEY COMPANY,A+,2013-08-16,47111,1,2060.0,NoDur,HSY,1.7436,0.665,2.1434,41.6376,17.3502,17.3502,20.8985,15.8342,10.3434,1.3798,71.3964,249.3058,14.2716,23.92,-1.3571,-2.0021
Egan-Jones Ratings Company,HERSHEY COMPANY,A+,2013-11-04,47111,1,2060.0,NoDur,HSY,1.7436,0.665,2.1434,41.6376,17.3502,17.3502,20.8985,15.8342,10.3434,1.3798,71.3964,249.3058,14.2716,23.92,-1.3571,-2.0021
Egan-Jones Ratings Company,HESS CORPORATION,A-,2013-09-11,4447,1,1311.0,Enrgy,HES,1.0295,0.2441,0.3258,50.9207,15.0016,15.0016,26.0641,10.4424,7.939,0.5481,8.2347,9.4001,3.912,6.2243,0.8647,-1.9432
Egan-Jones Ratings Company,HESS CORPORATION,A-,2013-12-12,4447,1,1311.0,Enrgy,HES,1.0295,0.2441,0.3258,50.9207,15.0016,15.0016,26.0641,10.4424,7.939,0.5481,8.2347,9.4001,3.912,6.2243,0.8647,-1.9432
Egan-Jones Ratings Company,HONEYWELL INTERNATIONAL INC,A+,2013-08-02,773840,1,9997.0,Other,HON,1.349,0.3286,0.5737,24.8878,11.0341,11.0341,13.4926,10.2881,7.7685,0.8999,22.434,-162.0232,7.0031,15.0617,0.8624,0.7529
Egan-Jones Ratings Company,HONEYWELL INTERNATIONAL INC,AA-,2013-10-24,773840,1,9997.0,Other,HON,1.349,0.3286,0.5737,24.8878,11.0341,11.0341,13.4926,10.2881,7.7685,0.8999,22.434,-162.0232,7.0031,15.0617,0.8624,0.7529
Egan-Jones Ratings Company,HORMEL FOODS CORPORATION,A+,2013-06-18,48465,1,2011.0,NoDur,HRL,2.9514,0.0813,0.0885,16.1816,9.2905,9.7606,11.2124,9.2135,6.0754,1.8034,17.8752,24.3827,11.0641,16.4219,0.0609,-0.0065
Egan-Jones Ratings Company,HORMEL FOODS CORPORATION,AA-,2013-10-02,48465,1,2011.0,NoDur,HRL,2.9514,0.0813,0.0885,16.1816,9.2905,9.7606,11.2124,9.2135,6.0754,1.8034,17.8752,24.3827,11.0641,16.4219,0.0609,-0.0065
Egan-Jones Ratings Company,HORMEL FOODS CORPORATION,AA-,2013-12-13,48465,1,2011.0,NoDur,HRL,2.6115,0.0701,0.0754,16.1434,9.2096,9.444,10.8706,9.1241,6.0127,1.7803,15.9826,26.4507,10.7829,14.8623,0.2173,0.2761
Egan-Jones Ratings Company,"HOVNANIAN ENTERPRISES, INC",CCC,2013-06-19,357294,0,1531.0,Other,HOV,1.5881,1.7392,-3.5166,15.3072,1.6506,1.6506,2.5702,-6.8164,-4.4567,0.8819,10.6659,13.6392,-3.9304,-10.082,38.3681,37.8733
Egan-Jones Ratings Company,"HOVNANIAN ENTERPRISES, INC",CCC,2013-10-10,357294,0,1531.0,Other,HOV,1.5881,1.7392,-3.5166,15.3072,1.6506,1.6506,2.5702,-6.8164,-4.4567,0.8819,10.6659,13.6392,-3.9304,-10.082,38.3681,37.8733
Moody's Investors Service,Halliburton Company,A,2013-08-06,45012,1,1389.0,Enrgy,HAL,2.7538,0.2339,0.3053,16.6088,14.5915,14.5915,20.3031,13.4091,9.2446,1.0399,16.3838,18.9454,9.4382,12.5522,-0.0582,-0.4459
Standard & Poor's Ratings Services,Harsco Corp.,BBB-,2013-09-17,45876,1,3390.0,Manuf,HSC,1.6727,0.5263,1.1249,22.866,-5.7383,-5.7383,3.1952,-7.1731,-8.3588,1.0235,-29.3843,-71.3792,-8.5075,-13.9184,-1.2342,-0.5539
Standard & Poor's Ratings Services,Harsco Corp.,BB+,2013-12-20,45876,0,3390.0,Manuf,HSC,1.6727,0.5263,1.1249,22.866,-5.7383,-5.7383,3.1952,-7.1731,-8.3588,1.0235,-29.3843,-71.3792,-8.5075,-13.9184,-1.2342,-0.5539
Moody's Investors Service,Harsco Corporation,BB+,2013-03-14,45876,0,3390.0,Manuf,HSC,1.6727,0.5263,1.1249,22.866,-5.7383,-5.7383,3.1952,-7.1731,-8.3588,1.0235,-29.3843,-71.3792,-8.5075,-13.9184,-1.2342,-0.5539
Standard & Poor's Ratings Services,Hasbro Inc.,BBB+,2013-01-28,46080,1,3944.0,NoDur,HAS,2.3916,0.497,1.1155,57.1526,13.86,13.86,18.4396,11.3495,8.9922,1.0375,27.1861,81.0565,9.3292,13.6733,0.4335,0.4637
Standard & Poor's Ratings Services,Hasbro Inc.,BBB-,2013-03-29,46080,1,3944.0,NoDur,HAS,2.3916,0.497,1.1155,57.1526,13.86,13.86,18.4396,11.3495,8.9922,1.0375,27.1861,81.0565,9.3292,13.6733,0.4335,0.4637
Standard & Poor's Ratings Services,Hershey Company (The),AA,2013-01-28,47111,1,2060.0,NoDur,HSY,1.7436,0.665,2.1434,41.6376,17.3502,17.3502,20.8985,15.8342,10.3434,1.3798,71.3964,249.3058,14.2716,23.92,-1.3571,-2.0021
Moody's Investors Service,Hershey Company (The),A,2013-05-14,47111,1,2060.0,NoDur,HSY,1.7436,0.665,2.1434,41.6376,17.3502,17.3502,20.8985,15.8342,10.3434,1.3798,71.3964,249.3058,14.2716,23.92,-1.3571,-2.0021
